SessionToken,Datestamp,Details
68984f7a94d60d6b838c0094221b1c8e,2022-12-30T16:41:11Z,Session started
9e46b08741f3aa98bcb390d7d8c56151,2022-12-30T17:02:20Z,Session started
6cfa5384988c4b17850475be281d1969,2022-12-30T17:03:24Z,Session started
15331f12359ac5d9ff3d14a3f00b6e69,2022-12-30T17:07:06Z,Session started
30ecc3a72239d1aa6b296c93ce0cfaac,2022-12-30T17:12:50Z,Session started
2efe492fa7353d2479a3417dcebc9a40,2022-12-30T17:41:04Z,Unsuccessful upload - not structurally valid
2efe492fa7353d2479a3417dcebc9a40,2022-12-30T17:42:08Z,Downloaded File Structure Analysis Report
2efe492fa7353d2479a3417dcebc9a40,2022-12-30T17:45:52Z,Unsuccessful upload - not structurally valid
ee390001415f23e2b67141beb0f0a86c,2022-12-30T18:24:46Z,Session started
44a260a2c993ffcfe6d63be861bd5ac4,2022-12-30T19:18:09Z,Session started
2b55a42292d36e198d16cc021aac53ea,2022-12-30T19:26:41Z,Session started
2b55a42292d36e198d16cc021aac53ea,2022-12-30T19:27:07Z,Unsuccessful upload - not structurally valid
2b55a42292d36e198d16cc021aac53ea,2022-12-30T19:27:15Z,Downloaded File Structure Analysis Report
2b55a42292d36e198d16cc021aac53ea,2022-12-30T19:45:53Z,Unsuccessful upload - not structurally valid
c7b6895e2d61932042729de1b0fb74c0,2022-12-30T19:54:33Z,Session started
37b19e7a3d488dd6fc7ac8bc81956358,2022-12-30T20:36:48Z,Session started
6b9a6ea67a9151863c140f5d13d429dd,2022-12-30T20:49:45Z,Session started
6b9a6ea67a9151863c140f5d13d429dd,2022-12-30T21:00:20Z,Unsuccessful upload - not structurally valid
5fbf005876358932284a90d8577180b3,2022-12-30T21:00:23Z,Session started
6b9a6ea67a9151863c140f5d13d429dd,2022-12-30T21:01:16Z,Downloaded File Structure Analysis Report
34ae9b581f0dfe9e0cfafffb5941587e,2022-12-30T21:06:25Z,Session started
48f7568f96de4a01c333e7046562c226,2022-12-30T21:10:04Z,Session started
48f7568f96de4a01c333e7046562c226,2022-12-30T21:10:15Z,Unsuccessful upload - not structurally valid
48f7568f96de4a01c333e7046562c226,2022-12-30T21:33:00Z,Downloaded File Structure Analysis Report
4ec988c4e6ddaf211c2d74a6aef7ba7a,2022-12-31T00:22:42Z,Session started
13037a37861a03cdfabf3b9636f8e158,2022-12-31T01:45:05Z,Session started
87d3e658d5481bc58316ad97d5de24d3,2022-12-31T16:04:52Z,Session started
6a375a4f184c3b93fc4cc5e0cb3219ca,2022-12-31T20:32:08Z,Session started
6a375a4f184c3b93fc4cc5e0cb3219ca,2022-12-31T20:48:45Z,Unsuccessful upload - not hashed
6a375a4f184c3b93fc4cc5e0cb3219ca,2022-12-31T20:49:32Z,Unsuccessful upload - not hashed
c052623752df8d957c852faff0141fe5,2022-12-31T20:57:26Z,Session started
c052623752df8d957c852faff0141fe5,2022-12-31T21:05:05Z,Successful upload
c052623752df8d957c852faff0141fe5,2022-12-31T21:05:12Z,Downloaded File Structure Analysis Report
51e68316e99f85bac56bb159b64ee7e8,2022-12-31T21:13:44Z,Session started
b86768b05bf64b09be6801887ab40542,2022-12-31T21:14:15Z,Session started
b86768b05bf64b09be6801887ab40542,2022-12-31T21:14:59Z,Successful upload
1674904d13cd28fb8f0f4bd5e589b31f,2022-12-31T22:11:54Z,Session started
82dfd20ec24d636ca541ae2fa8a1af25,2023-01-01T16:55:45Z,Session started
82dfd20ec24d636ca541ae2fa8a1af25,2023-01-01T17:07:58Z,Unsuccessful upload - wrong/incomplete dataset
82dfd20ec24d636ca541ae2fa8a1af25,2023-01-01T17:09:04Z,Unsuccessful upload - not structurally valid
82dfd20ec24d636ca541ae2fa8a1af25,2023-01-01T17:09:12Z,Downloaded File Structure Analysis Report
b6453ae0794497dbd8c6cde8c1193b81,2023-01-02T08:11:14Z,Session started
a1981a34f7482423d41293e9069eff17,2023-01-02T10:48:23Z,Session started
cba79a09de52e72ad950caa00a5adb85,2023-01-02T22:26:31Z,Session started
86d9371456a704c2aa5868c4507f4652,2023-01-03T02:19:17Z,Session started
821301e15210ecbe73ac7fd38251c98c,2023-01-03T08:42:48Z,Session started
b5e87be7d341f5bfb3da2c5334d44c11,2023-01-03T11:18:03Z,Session started
6fe51b5ee6f15d729ff7d2a7b96d071b,2023-01-03T11:46:11Z,Session started
7cd7913b1f359fffe34c5247712b5da3,2023-01-03T12:42:47Z,Session started
2e9dd11c4207e2b4e296a1b4f14c5785,2023-01-03T12:50:46Z,Session started
608fc2c8f8937eaf1e03d541a6b9b8f0,2023-01-03T13:43:57Z,Session started
608fc2c8f8937eaf1e03d541a6b9b8f0,2023-01-03T13:46:41Z,Unsuccessful upload - not structurally valid
422e5c9ce9ef4a9b4d685102a535f7a6,2023-01-03T13:48:19Z,Session started
0dd3c0f779bfd52c249a3c8b188ff312,2023-01-03T13:53:51Z,Session started
98bf358d0c6e7a7113a53c59a9131e1f,2023-01-03T14:10:12Z,Session started
98bf358d0c6e7a7113a53c59a9131e1f,2023-01-03T14:12:50Z,Unsuccessful upload - not structurally valid
98bf358d0c6e7a7113a53c59a9131e1f,2023-01-03T14:13:47Z,Downloaded File Structure Analysis Report
72ff25aa962e026ad31666d4814ac503,2023-01-03T14:35:44Z,Session started
088111be9db6c342c68b4b00e4d6551f,2023-01-03T14:46:43Z,Session started
fa6d3ec3ac3ed71317e5939d2f8dd916,2023-01-03T14:48:15Z,Session started
5b8efaaf1d06bbd44f253037febee9e8,2023-01-03T14:48:29Z,Session started
81b80a1bbe9c71fb0e2cc0cae4fb9170,2023-01-03T14:49:12Z,Session started
ceb1000ffb9ddb7ae71a1cfba34874ce,2023-01-03T14:50:06Z,Session started
98bf358d0c6e7a7113a53c59a9131e1f,2023-01-03T14:51:27Z,Downloaded File Structure Analysis Report
0000ab31209547a7878da133358ab544,2023-01-03T14:51:51Z,Session started
55a229904c7f7e41f690d922a178a190,2023-01-03T14:53:20Z,Session started
237478223028ae2b58017c51ce2dd42c,2023-01-03T14:58:33Z,Session started
92c73e43f7f7ae97ca33094db2702c83,2023-01-03T14:58:45Z,Session started
237478223028ae2b58017c51ce2dd42c,2023-01-03T15:00:18Z,Unsuccessful upload - not structurally valid
53c854d1ca4ab2ab0726cc8b811d245b,2023-01-03T15:02:17Z,Session started
0000ab31209547a7878da133358ab544,2023-01-03T15:03:33Z,Unsuccessful upload - not structurally valid
0000ab31209547a7878da133358ab544,2023-01-03T15:03:49Z,Downloaded File Structure Analysis Report
da3172dd17642441eacc7db02e73de8f,2023-01-03T15:09:36Z,Session started
517c22745357029b8d4035ccea36b461,2023-01-03T15:12:24Z,Session started
53c854d1ca4ab2ab0726cc8b811d245b,2023-01-03T15:13:18Z,Unsuccessful upload - not hashed
b0f1264e46938b6a2b0a4460828caba5,2023-01-03T15:13:53Z,Session started
395832795d3308e5d0ee80e48279a363,2023-01-03T15:16:09Z,Session started
395832795d3308e5d0ee80e48279a363,2023-01-03T15:16:49Z,Unsuccessful upload - not hashed
b9d14418ba2bc92a48943f1bcb5d203a,2023-01-03T15:22:38Z,Session started
4d406fa08c6563bfbba1adafccb5df46,2023-01-03T15:22:44Z,Session started
395832795d3308e5d0ee80e48279a363,2023-01-03T15:27:08Z,Successful upload
395832795d3308e5d0ee80e48279a363,2023-01-03T15:27:15Z,Downloaded File Structure Analysis Report
395832795d3308e5d0ee80e48279a363,2023-01-03T15:29:04Z,Downloaded PDDE Report
32a51875847a3a5d35fdafeedba21ce2,2023-01-03T15:30:18Z,Session started
32a51875847a3a5d35fdafeedba21ce2,2023-01-03T15:30:46Z,Unsuccessful upload - not structurally valid
32a51875847a3a5d35fdafeedba21ce2,2023-01-03T15:31:06Z,Downloaded File Structure Analysis Report
395832795d3308e5d0ee80e48279a363,2023-01-03T15:33:36Z,Downloaded System-level DQ Report
eae49e24574ab849e4a1169166804396,2023-01-03T15:33:40Z,Session started
3ee92bacdc11e7725dcedec21c3ff64f,2023-01-03T15:33:55Z,Session started
eae49e24574ab849e4a1169166804396,2023-01-03T15:34:08Z,Successful upload
eae49e24574ab849e4a1169166804396,2023-01-03T15:34:18Z,Downloaded File Structure Analysis Report
6339c36fcecf4b348a75f099644f7e04,2023-01-03T15:35:43Z,Session started
b2d6efc1b303cfb93a652a1243c98b25,2023-01-03T15:37:44Z,Session started
54c4aaaf432efaa1f1ffa24df9738038,2023-01-03T15:45:36Z,Session started
54c4aaaf432efaa1f1ffa24df9738038,2023-01-03T15:46:03Z,Unsuccessful upload - not structurally valid
54c4aaaf432efaa1f1ffa24df9738038,2023-01-03T15:46:44Z,Downloaded File Structure Analysis Report
deb63408b0c029f9c312df23b31f4c1c,2023-01-03T15:48:40Z,Session started
deb63408b0c029f9c312df23b31f4c1c,2023-01-03T15:52:29Z,Unsuccessful upload - not structurally valid
a85c7506ac8c362da04d550e4dbd44ec,2023-01-03T16:14:53Z,Session started
a4da435e0dc8d266bb86bf4ac0fc4a62,2023-01-03T16:20:26Z,Session started
151ca21c87d140bba731079b9bf1a96e,2023-01-03T16:35:33Z,Session started
ec83fc5886fd785caaa8f0b419533e31,2023-01-03T16:35:40Z,Session started
aab071773155ad0a5726c1f13f4dcfca,2023-01-03T16:39:16Z,Session started
21b4c96cb045da779f4f4ffe7eee1391,2023-01-03T16:39:44Z,Session started
744f6ff16d0e8d91274f05967557e138,2023-01-03T16:39:57Z,Session started
483093050813ec22868b90a504f06495,2023-01-03T16:39:57Z,Session started
ec83fc5886fd785caaa8f0b419533e31,2023-01-03T16:40:10Z,Unsuccessful upload - not structurally valid
ec83fc5886fd785caaa8f0b419533e31,2023-01-03T16:40:19Z,Downloaded File Structure Analysis Report
ec8baa014b7873f83ece6831bc671bec,2023-01-03T16:46:32Z,Session started
ec8baa014b7873f83ece6831bc671bec,2023-01-03T16:46:51Z,Successful upload
ec8baa014b7873f83ece6831bc671bec,2023-01-03T16:47:06Z,Downloaded File Structure Analysis Report
24e21b801c4c4fbccdaf5e66117f661d,2023-01-03T17:22:33Z,Session started
7ad76ed78b121a07f6d237eaea2afa8e,2023-01-03T17:30:40Z,Session started
47f3b8b1623c24975b8fa2535533d038,2023-01-03T17:31:57Z,Session started
05334a126cf4d991334dee31c6b66fe7,2023-01-03T17:41:50Z,Session started
24e21b801c4c4fbccdaf5e66117f661d,2023-01-03T17:53:55Z,Unsuccessful upload - not structurally valid
da853a193bcef5d5dbd33ddf009481d0,2023-01-03T17:55:00Z,Session started
24e21b801c4c4fbccdaf5e66117f661d,2023-01-03T17:57:00Z,Unsuccessful upload - not structurally valid
7b0923c2494951d4aa730caeff349922,2023-01-03T18:26:13Z,Session started
1f1fe508eaf48ffe0a7494614a6fe15a,2023-01-03T18:27:48Z,Session started
1f1fe508eaf48ffe0a7494614a6fe15a,2023-01-03T18:28:06Z,Unsuccessful upload - not structurally valid
121527cfaf9359e5574ecd36974d1cc0,2023-01-03T18:28:11Z,Session started
6b7af290ff76b70a55f9c75e66103445,2023-01-03T18:28:37Z,Session started
4a7b07b93edb0ea5152b51d34f470522,2023-01-03T18:38:13Z,Session started
08b0d2f93cc90a5747784cd4000e7060,2023-01-03T19:06:16Z,Session started
08b0d2f93cc90a5747784cd4000e7060,2023-01-03T19:07:14Z,Successful upload
08b0d2f93cc90a5747784cd4000e7060,2023-01-03T19:07:34Z,Downloaded File Structure Analysis Report
2c48cc99532ebebc7c19687e6c94757b,2023-01-03T19:08:21Z,Session started
08b0d2f93cc90a5747784cd4000e7060,2023-01-03T19:11:03Z,Downloaded PDDE Report
be453f2689b78086231145808c427965,2023-01-03T19:22:02Z,Session started
db6c2b283244010bf563502858ec2cfc,2023-01-03T19:22:02Z,Session started
5e08e03d28c7162fa574e1e427a0d67a,2023-01-03T19:24:35Z,Session started
08b0d2f93cc90a5747784cd4000e7060,2023-01-03T19:25:03Z,Downloaded System-level DQ Report
efea3d16f4e5dbd9f76e5724be8b5f3e,2023-01-03T19:38:59Z,Session started
efea3d16f4e5dbd9f76e5724be8b5f3e,2023-01-03T19:39:14Z,Unsuccessful upload - wrong/incomplete dataset
60cb1a625de57a2ce781c8271d1c8da8,2023-01-03T19:56:59Z,Session started
64acaf290ad0d765c657841970954ade,2023-01-03T20:05:47Z,Session started
60cb1a625de57a2ce781c8271d1c8da8,2023-01-03T20:06:19Z,Unsuccessful upload - not structurally valid
60cb1a625de57a2ce781c8271d1c8da8,2023-01-03T20:06:27Z,Downloaded File Structure Analysis Report
cae929b6a7ce26efb109d5d2fdad8b06,2023-01-03T20:34:52Z,Session started
cae929b6a7ce26efb109d5d2fdad8b06,2023-01-03T20:35:30Z,Successful upload
cae929b6a7ce26efb109d5d2fdad8b06,2023-01-03T20:35:43Z,Downloaded File Structure Analysis Report
cae929b6a7ce26efb109d5d2fdad8b06,2023-01-03T20:39:06Z,Downloaded System-level DQ Report
5726608b97eb23bb4adeaaff984a1912,2023-01-03T21:07:13Z,Session started
25fdeba530982db811b022d864189fb4,2023-01-03T21:18:13Z,Session started
4f30194be020af3a00a2b7176d1b1bc6,2023-01-03T21:18:18Z,Session started
89e2e2dfb55861581180799f16ceb73c,2023-01-03T21:18:20Z,Session started
daf3c1faeaf87800eec420923080cad7,2023-01-03T21:18:39Z,Session started
daa53eeb5e3cc62d6f19c1ef42fb76bf,2023-01-03T21:22:56Z,Session started
f1ab068c4f2710f93e635489f3e70dc6,2023-01-03T21:34:33Z,Session started
6c44e237eb698c117899d529b25df4d2,2023-01-03T21:35:36Z,Session started
82f75ffb813234600b7bbbaff353fcdf,2023-01-03T21:58:49Z,Session started
82f75ffb813234600b7bbbaff353fcdf,2023-01-03T21:59:24Z,Unsuccessful upload - not hashed
82f75ffb813234600b7bbbaff353fcdf,2023-01-03T22:01:31Z,Unsuccessful upload - not hashed
82f75ffb813234600b7bbbaff353fcdf,2023-01-03T22:25:57Z,Unsuccessful upload - not hashed
82f75ffb813234600b7bbbaff353fcdf,2023-01-03T22:26:14Z,Unsuccessful upload - not hashed
82f75ffb813234600b7bbbaff353fcdf,2023-01-03T22:26:46Z,Unsuccessful upload - not hashed
14b68ac0c82a95e0065f881976c6618e,2023-01-03T22:27:38Z,Session started
82f75ffb813234600b7bbbaff353fcdf,2023-01-03T22:37:00Z,Unsuccessful upload - not hashed
5ebdeef149cfbeedf71d275d7aaecf54,2023-01-03T22:42:01Z,Session started
a314665dab5eee0270dc970b45838be2,2023-01-03T22:49:05Z,Session started
be0612e4f9c5feff130bba9a613554f1,2023-01-03T22:49:10Z,Session started
a314665dab5eee0270dc970b45838be2,2023-01-03T22:49:41Z,Unsuccessful upload - not hashed
be0612e4f9c5feff130bba9a613554f1,2023-01-03T22:49:59Z,Unsuccessful upload - not structurally valid
be0612e4f9c5feff130bba9a613554f1,2023-01-03T22:53:29Z,Downloaded File Structure Analysis Report
572a0b9c3420529ecc27daef417abb2e,2023-01-04T05:17:49Z,Session started
2cbe2edbf8174f94d57349393dcec0ad,2023-01-04T07:59:00Z,Session started
3327bd19e3b7108113675e63e7b16f22,2023-01-04T08:05:19Z,Session started
b21bc19678df170ee8de4ab142efba3c,2023-01-04T08:16:04Z,Session started
12a785bb93fbd72ac980a1cd5d59ffdc,2023-01-04T12:49:55Z,Session started
7f430004015f02057ac499e26880393b,2023-01-04T13:51:33Z,Session started
48db5633357a726e785fb712ee398ab8,2023-01-04T13:57:13Z,Session started
35ed1131c5d9f1fa14e2ae54f7e97dec,2023-01-04T14:07:18Z,Session started
1e265c98bc4945a5a7955fcaa7380ac8,2023-01-04T14:47:50Z,Session started
7e57c62d9e073503783d3fadd03e4b61,2023-01-04T14:48:11Z,Session started
d9540518760e2608876349857115dbd4,2023-01-04T14:50:06Z,Session started
7e57c62d9e073503783d3fadd03e4b61,2023-01-04T14:52:28Z,Unsuccessful upload - wrong/incomplete dataset
7e57c62d9e073503783d3fadd03e4b61,2023-01-04T14:56:51Z,Unsuccessful upload - wrong/incomplete dataset
ef5569f37f8182d87d06076e4c12a90f,2023-01-04T15:11:47Z,Session started
813ef008663724e07f1741601c014ba0,2023-01-04T15:17:21Z,Session started
4ef892bf65243c52f09b5f5685d17e51,2023-01-04T15:57:45Z,Session started
7d11aee655a5a3cc0a3a80bd38db3deb,2023-01-04T16:26:14Z,Session started
7d11aee655a5a3cc0a3a80bd38db3deb,2023-01-04T16:27:35Z,Unsuccessful upload - not structurally valid
7d11aee655a5a3cc0a3a80bd38db3deb,2023-01-04T16:27:46Z,Downloaded File Structure Analysis Report
dd91b3ec7c95d5c206d98b37748e71f4,2023-01-04T16:37:11Z,Session started
7d4af7155a133db9d6c07a9c180a7f1c,2023-01-04T16:40:21Z,Session started
78b621bd53b46d522c95c0263bc28648,2023-01-04T16:43:42Z,Session started
4878291828f8c3e9e68736d1ed5fce8a,2023-01-04T16:44:02Z,Session started
7d11aee655a5a3cc0a3a80bd38db3deb,2023-01-04T16:45:13Z,Unsuccessful upload - not structurally valid
eb685cc7c5a379b2efaa7d8da297072d,2023-01-04T16:45:15Z,Session started
eb685cc7c5a379b2efaa7d8da297072d,2023-01-04T16:45:35Z,Unsuccessful upload - not structurally valid
eb685cc7c5a379b2efaa7d8da297072d,2023-01-04T16:46:10Z,Downloaded File Structure Analysis Report
7d832cc9890054711c72f4653af84757,2023-01-04T16:56:03Z,Session started
51883457f85814fe5996fdf5e314b4c7,2023-01-04T17:28:22Z,Session started
51883457f85814fe5996fdf5e314b4c7,2023-01-04T17:29:11Z,Unsuccessful upload - not structurally valid
51883457f85814fe5996fdf5e314b4c7,2023-01-04T17:29:42Z,Downloaded File Structure Analysis Report
51883457f85814fe5996fdf5e314b4c7,2023-01-04T17:32:06Z,Unsuccessful upload - not structurally valid
dfd2e9a5da4fd7573835db348d6d362b,2023-01-04T17:37:28Z,Session started
51883457f85814fe5996fdf5e314b4c7,2023-01-04T17:41:40Z,Unsuccessful upload - not structurally valid
51883457f85814fe5996fdf5e314b4c7,2023-01-04T17:41:46Z,Downloaded File Structure Analysis Report
682113fbdaec3de0d260c58b5b634df4,2023-01-04T17:54:05Z,Session started
0095a6e2693102dada5b3d25e8d3b75f,2023-01-04T18:29:23Z,Session started
ec332048b5adf5efdd419a5ad8529593,2023-01-04T18:29:41Z,Session started
6e33347282045cfe4468e39e545b4888,2023-01-04T18:29:56Z,Session started
6e33347282045cfe4468e39e545b4888,2023-01-04T18:42:49Z,Unsuccessful upload - not hashed
6e33347282045cfe4468e39e545b4888,2023-01-04T18:43:47Z,Unsuccessful upload - not hashed
1207203d4ad981a2065cee2fda406396,2023-01-04T18:55:58Z,Session started
6d3d7a1f4de0d7a7d6a783cfd503d307,2023-01-04T19:30:20Z,Session started
7eebf87e9d88203f97a276c7ca208ad3,2023-01-04T19:30:37Z,Session started
929bf5cfe63bd8068390cf12d1c4ffc9,2023-01-04T19:31:09Z,Session started
6d3d7a1f4de0d7a7d6a783cfd503d307,2023-01-04T19:32:32Z,Unsuccessful upload - wrong/incomplete dataset
62a3a603bf7fd1bf28bc2a95b6e52708,2023-01-04T19:34:32Z,Session started
964c094f57782bc48df086f01de8d9d9,2023-01-04T20:25:24Z,Session started
964c094f57782bc48df086f01de8d9d9,2023-01-04T20:25:35Z,Unsuccessful upload - not structurally valid
c4959c337d9fdc65577d7edf2fd63a83,2023-01-04T20:51:05Z,Session started
c4959c337d9fdc65577d7edf2fd63a83,2023-01-04T20:51:11Z,Unsuccessful upload - not hashed
c4959c337d9fdc65577d7edf2fd63a83,2023-01-04T20:51:19Z,Unsuccessful upload - not hashed
75b0c92013f0afd5a0b75fd72cc24bd5,2023-01-04T20:58:59Z,Session started
e3de4c3a3701f3613fde8c18a3bbab0a,2023-01-04T21:04:55Z,Session started
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:05:34Z,Session started
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:15:03Z,Unsuccessful upload - not structurally valid
44c2b6b143e5c90d35f8f0bd42789416,2023-01-04T21:15:08Z,Session started
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:15:16Z,Downloaded File Structure Analysis Report
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:15:30Z,Downloaded File Structure Analysis Report
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:15:46Z,Downloaded File Structure Analysis Report
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:16:54Z,Unsuccessful upload - not structurally valid
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:17:01Z,Downloaded File Structure Analysis Report
a2c34618133b2d13e570e46b6eecaec6,2023-01-04T21:17:30Z,Session started
eb08ea4bc6087c1383f0bfc23428bc59,2023-01-04T21:20:13Z,Unsuccessful upload - not structurally valid
1e01ad73c260981977a09b74122f4113,2023-01-04T21:29:09Z,Session started
