Source,Type,Issue,DataElement,Guidance,Notes,ID
file structure,Error,Incorrect Date Format,Date-Based Data Elements,"Dates in the HMIS CSV Export should be in yyyy-mm-dd or yyyy-mm-dd hh:mm:ss format, in alignment with the HMIS CSV Format Specifications. Please check the Specifications for the file and column identified in the Detail and ensure the correct date format is used in the export.","If the column is considered High Priority, this will be a High Priority issue. Otherwise, this will be considered a General Error.",47
file structure,Error,Invalid Current Living Situation,4.12 - Current Living Situation,This column contains a value that may have been retired from an old version of the Data Standards or was miskeyed. Please review the HMIS CSV Format Specifications for CurrentLivingSituation and ensure all values in the export align with the associated values list found in 'Appendix B - Lists' of the Specifications.,,55
file structure,Error,Invalid Destination value,3.12.1 - Destination,This column contains a value that may have been retired from an old version of the Data Standards or was miskeyed. Please review the HMIS CSV Format Specifications for Destination and ensure all values in the export align with the associated values list found in 'Appendix B - Lists' of the Specifications.,,54
file structure,Error,Invalid Disabling Condition,3.01.5 - Name: Name Data Quality,DisablingCondition should only have valid values. Please review the HMIS CSV Format Specifications for DisablingCondition and ensure all values in the export align with the associated values list found in 'Appendix B - Lists' of the Specifications.,,51
file structure,Error,Invalid Living Situation value,3.917.1 - Prior Living Situation: Living Situation,This column contains a value that may have been retired from an old version of the Data Standards or was miskeyed. Please review the HMIS CSV Format Specifications for LivingSituation and ensure all values in the export align with the associated values list found in 'Appendix B - Lists' of the Specifications.,,52
file structure,Error,Invalid RelationshipToHoH value,3.15 - Relationship to Head of Household,RelationshipToHoH must be a valid value. Please review the HMIS CSV Format Specifications for RelationshipToHoH and ensure all values in the export align with the associated values list found in 'Appendix B - Lists' of the Specifications.,,53
file structure,Error,Invalid value in Client file,"3.01-3.07, V1.1-V1.11",All columns in the client file should contain only the values listed in the HMIS CSV Format Specifications for that specific column. Please review the Specifications for the column identified in the Detail and ensure all values in the export align with the associated values list found in 'Appendix B - Lists' of the Specifications.,,50
dq,High Priority,Duplicate Entries,"3.10 - Project Start Date, 3.11 - Project Exit Date",A client cannot have two enrollments with the same entry date into the same project. These are duplicate enrollment records. Please address this issue.,,1
dq,High Priority,Missing Relationship to Head of Household,3.15 - Relationship to Head of Household,"This household has missing relationships with the designated head of household. According to the HMIS Data Standards Manual, every household member must have a Relationship to Head of Household and one member must be designated as the head of household for the entire duration of the enrollment.",,4
dq,High Priority,No Head of Household,3.15 - Relationship to Head of Household,This household does not have a designated head of household. Every household must have exactly one head of household. Please be sure: 1. All members of the household are included in the program stay; 2. Each household member's birthdate is correct; 3. Every household member has a Relationship to Head of Household; 4. Exactly one member is designated as the head of household for the entire duration of the enrollment.,,2
dq,High Priority,Too Many Heads of Household,3.15 - Relationship to Head of Household,"This household has more than one head of household. According to the HMIS Data Standards Manual, one member must be designated as the head of household for the entire duration of the enrollment.",,3
dq,Error,Conflicting Health Insurance yes/no at Entry,4.04 - Health Insurance,There is a discrepancy between the data element indicating that the client is receiving health insurance and the data elements regarding the health insurance sources. Please verify this client's health insurance at Entry to correct this error.,,94
dq,Error,Conflicting Health Insurance yes/no at Exit,4.04 - Health Insurance,There is a discrepancy between the data element indicating that the client is receiving health insurance and the data elements regarding the health insurance sources. Please verify this client's health insurance at Exit to correct this error.,,95
dq,Error,Conflicting Income yes/no at Entry,4.02 - Income and Sources,There is a discrepancy between the data element indicating that the client is receiving income and the data elements regarding the income sources. Please verify this client's income to correct this error.,,88
dq,Error,Conflicting Income yes/no at Exit,4.02 - Income and Sources,There is a discrepancy between the data element indicating that the client is receiving income and the data elements regarding the income sources. Please verify this client's income to correct this error.,,90
dq,Error,Conflicting Non-cash Benefits yes/no at Entry,4.03 - Non-Cash Benefits,There is a discrepancy between the data element indicating that the client is receiving non-cash benefits and the data elements regarding the non-cash benefits sources. Please verify this client's non-cash benefits at Entry to correct this error.,,97
dq,Error,Enrollment After Operating Period,"2.02.3 Operating Start Date, 2.02.4 Operating End Date",This enrollment begins after the project stopped operating. Please either correct your Operating End Date to include this enrollment or this enrollment may be excluded from local and/or federal reporting.,,116
dq,Error,Enrollment Before Operating Period,"2.02.3 Operating Start Date, 2.02.4 Operating End Date",This enrollment ends before the project started operating. Please either correct your Operating Start Date to include this enrollment or this enrollment may be excluded from local and/or federal reporting.,,118
dq,Error,Enrollment Crosses Operating End,"2.02.3 Operating Start Date, 2.02.4 Operating End Date","This enrollment ends after the project stopped operating. For reporting to work correctly, be sure your enrollment dates are within your HMIS participation dates.",,119
dq,Error,Enrollment Crosses Operating Period,"2.02.3 Operating Start Date, 2.02.4 Operating End Date","This enrollment begins before the project was operating and either does not have an Exit or the Exit is after the project stopped operating. For reporting to work correctly, be sure your enrollment dates are within your project's operating dates.",,120
dq,Error,Enrollment Crosses Operating Start,"2.02.3 Operating Start Date, 2.02.4 Operating End Date","This enrollment begins before the project started operating. For reporting to work correctly, be sure your enrollment dates are within your project's operating dates.",,117
dq,Error,Enrollment Crosses Participating End,"2.08.1 HMIS Participation Type, 2.08.2 HMIS Participating Start, 2.08.3 HMIS Participating End","This enrollment ends after the project stopped participating in HMIS. For reporting to work correctly, be sure your enrollment dates are within your HMIS participation dates.",,114
dq,Error,Enrollment Crosses Participating Start,"2.08.1 HMIS Participation Type, 2.08.2 HMIS Participating Start, 2.08.3 HMIS Participating End","This enrollment begins before the project was participating in HMIS. For reporting to work correctly, be sure your enrollment dates are within your HMIS participation dates.",,112
dq,Error,Enrollment Crosses Participation Period,"2.08.1 HMIS Participation Type, 2.08.2 HMIS Participating Start, 2.08.3 HMIS Participating End","This enrollment begins before the project was participating in HMIS and either does not have an Exit or the Exit is after the project stopped participating. For reporting to work correctly, be sure your enrollment dates are within your HMIS participation dates.",,115
dq,Error,Future Exit Date,3.11 - Project Exit Date,"This client's Exit Date is a date in the future. Please enter the exact date the client left your program. If this client has not yet exited, delete the Exit and then enter the Exit Date once the client is no longer in your program.",,14
dq,Error,Missing Health Insurance at Entry,4.04 - Health Insurance,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,92
dq,Error,Missing Health Insurance at Exit,4.04 - Health Insurance,This data element is required to be collected at Project Exit. Please go to the client's assessment at Project Exit to enter this data into HMIS.,,93
dq,Error,Missing Income at Entry,4.02 - Income and Sources,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,87
dq,Error,Missing Income at Exit,4.02 - Income and Sources,This data element is required to be collected at Project Exit. Please go to the client's assessment at Project Exit to enter this data into HMIS.,,89
dq,Error,Incomplete Living Situation Data,3.917 - Prior Living Situation,"When responding to the Prior Living Situation questions in your assessment at Project Start, users must answer questions about the clients' situation prior to the ""Type of Residence"" question that are important to help determine that client's Chronicity. Please answer these questions to the best of your knowledge.",,41
dq,Error,Incorrect DOB or Entry Date,"3.03 - Date of Birth, 3.10 - Project Start Date","The HMIS data is indicating the client entered the project PRIOR to being born. Correct either the Date of Birth or the Project Start Date,  whichever is incorrect.",,84
dq,Error,Incorrect Year Entered Service,V1.1 - Veteran's Information: Year Entered Military Service,The year the client entered military service is in the future. Please verify the dates this client was in military service to correct this error.,,16
dq,Error,Incorrect Year Separated,V1.1 - Veteran's Information: Year Separated from Military Service,The year the client separated from military service is in the future. Please verify the dates this client was in military service to correct this error.,,18
dq,Error,Invalid Move-In Date,3.20 - Housing Move-In Date,This move-in date does not fall between the Entry Date and the Exit Date or this move-in date is after the Export End Date. Please review and correct.,,40
dq,Error,Missing Approximate Date Homeless,3.917.3 - Prior Living Situation: Date Homelessness Started,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,28
dq,Error,Missing Current Living Situation Subsidy Type,"4.12 - Current Living Situation, 4.12A Current Living Situation Subsidy Type","If the response to Current Living Situation is ""Rental by client, with ongoing housing subsidy,"" then the Subsidy Type must be specified and valid.",,129
dq,Error,Missing Destination Subsidy Type,"3.12.1 - Destination, 3.12.A - Destination Subsidy Type","If the response to Destination is ""Rental by client, with ongoing housing subsidy,"" then the Subsidy Type must be specified and valid.",,121
dq,Warning,Unknown Disabling Condition,3.08 - Disabling Condition,"This record is being flagged because it has a value other than Yes or No. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,32
dq,Error,Missing Discharge Status,V1.12 - Veteran's Information: Discharge Status,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,21
dq,Error,Missing DOB,3.03.1 - Date of Birth,"This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS. If this data was not collected, the client declined to provide the information or was unable to provide it, please update the DOB Quality field accordingly.",,34
dq,Error,Missing Enrollment CoC,3.16 - Client Location,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,27
dq,Error,Missing HP Screening or Threshold Score,V7 - HP Targeting Criteria,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,25
dq,Error,Missing Length of Stay,3.917.2 - Prior Living Situation: length of Stay,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,26
dq,Error,Missing Military Branch,V1.11 - Veteran's Information: Branch of the Military,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,20
dq,Error,Missing Months or Times Homeless,"3.917.4 - Prior Living Situation: Times Homeless in Past 3 Years, 3.917.5 - Prior Living Situation: Months Homeless in Past 3 Years",This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,31
dq,Error,Missing Percent AMI,V4 - Percent of AMI (SSVF Eligibility),This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,22
dq,Error,"Missing Previously Unsheltered, ES, SH","3.917.2C - Prior Living Situation: Previous Street, ES, SH",This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,29
dq,Error,Missing Prior Living Situation Subsidy Type,"3.917 - Prior Living Situation, 3.917A Rental Subsidy Type","If the response to Prior Living Situation is ""Rental by client, with ongoing housing subsidy,"" then the Subsidy Type must be specified and valid.",,130
dq,Error,Missing Residence Prior,3.917.1 - Prior Living Situation: Living Situation,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,30
dq,Error,Missing VAMC Station Number,V6 - VAMC Station Number,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,23
dq,Error,Missing War(s),V1.3-V1.10 - Veteran's Information: Theaters of Operations,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,19
dq,Error,Missing Year Entered Service,V1.1 - Veteran's Information: Year Entered Military Service,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,15
dq,Error,Missing Year Separated,V1.1 - Veteran's Information: Year Separated from Military Service,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,17
dq,Error,Missing Non-cash Benefits at Entry,4.03 - Non-Cash Benefits,This data element is required to be collected at Project Start. Please go to the client's assessment at Project Start to enter this data into HMIS.,,96
dq,Error,Oldest Household Member Under 12,"3.03 - Date of Birth, 5.09 Household Identifier",This household has no one over the age of 12. This is unexpected and it could be an error. Please confirm date(s) of birth and household composition to ensure all members of the household are associated.,,86
dq,Error,Project Exit Before Start,"3.11 - Project Exit Date, 2.02.4 - Operating Start Date",This enrollment's exit date is before the enrollment's project start date. The exit date must be after or equal to the project start date. Please go to this enrollment and ensure that the correct project start date and exit date are entered.,,99
dq,Warning,Days Referral Active Exceeds Local Settings,4.20.1 - Event Date,You have at least one active referral that has been active without a Result Date for longer than the days set in your Local Settings on the Edit Local Settings tab.,,100
dq,Warning,Days since Most Recent CLS Exceeds Local Settings,4.12.1 - Information Date,This enrollment has been active without any updates to their Current Living Situation for longer than the days set for this Project Type in your Long Stayers settings on the Edit Local Settings tab. Please be sure that any CLS updates or project exits are reflected in HMIS.,"Includes ES-NbN, Street Outreach, and Coordinated Entry",103
dq,Warning,Unknown Destination,3.12.1 - Destination,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,59
dq,Warning,Unknown Discharge Status,V1.12 - Veteran's Information: Discharge Status,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,56
dq,Warning,Unknown Length of Stay,3.917.2 - Length of Stay in prior living situation,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,73
dq,Warning,Unknown Living Situation,3.917 - Prior Living Situation,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,68
dq,Warning,Unknown Military Branch,V1.11 - Veteran's Information: Branch of the Military,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,58
dq,Warning,Unknown Months or Times Homeless,"3.917.4 - Prior Living Situation: Times Homeless in Past 3 Years, 3.917.5 - Prior Living Situation: Months Homeless in Past 3 Years","This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,61
dq,Warning,Unknown Race/Ethnicity,3.04 - Race,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,63
dq,Warning,Unknown Residence Prior,3.917.1 - Prior Living Situation: Living Situation,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,64
dq,Warning,Unknown SSN,3.02 - Social Security Number,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,67
dq,Warning,Unknown Veteran Status,3.07 - Veteran Status,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,66
dq,Warning,Unknown War(s),V1.3-V1.10 - Veteran's Information: Theaters of Operations,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,57
dq,Warning,Unknown DOB,3.03.1 - Date of Birth,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,60
dq,Warning,Enrollment After Participating Period,"2.08.1 HMIS Participation Type, 2.08.2 HMIS Participating Start, 2.08.3 HMIS Participating End","This enrollment begins after the project stopped participating in HMIS. Please either correct your HMIS Participation End Date to include this enrollment, or this enrollment may be excluded from local and/or federal reporting.",Not considering this an Error because there may be PIT or survey data entered into HMIS that would flag here that admins may need for PIT reporting.,111
dq,Warning,Enrollment Before Participating Period,"2.08.1 HMIS Participation Type, 2.08.2 HMIS Participating Start, 2.08.3 HMIS Participating End","This enrollment ends before the project started participating in HMIS. Please either correct your HMIS Participation Start Date to include this enrollment, or this enrollment may be excluded from local and/or federal reporting.",Not considering this an Error because there may be PIT or survey data entered into HMIS that would flag here that admins may need for PIT reporting.,113
dq,Warning,Future Entry Date,3.10 - Project Start Date,"Users should not be entering a client into a project on a date in the future. If the Project Start Date is correct, there is no action needed, but going forward, please be sure that your data entry workflow is correct according to your project type.",,75
dq,Warning,Homelessness Start Date conflicts with Living Situation data,"3.10 - Project Start Date, 3.917.3 - Prior Living Situation: Date Homelessness Started","According to this client's assessment at Project Start, their Approximate Date Homeless was over three years ago, which would mean their Number of  Times Homeless would have to be 1 and their Number of Months Homeless would have to be ""More than 12 months"".",,105
dq,Warning,Homelessness Start Date Later Than Entry,"3.10 - Project Start Date, 3.917.3 - Prior Living Situation: Date Homelessness Started","This client has an Approximate Date Homelessness Started in their enrollment that is after their Project Start Date. The information at Project Start should reflect the client's situation at the point of Project Start, so this date may have been incorrectly entered.",,69
dq,Warning,Incomplete or Unknown Name,3.01.5 - Name: Name Data Quality,"This record is being flagged because it is incomplete. Some clients may decline or be unable to provide the answer to one or more questions during an assessment. Please review the HMIS Data Manual, pages 12-13, for further guidance on data completeness. If possible to complete this data, please update the record. Note that high levels of incomplete data for a given element may indicate the need for additional training.",,78
dq,Warning,Invalid Homelessness Start Date/Number of Months Homeless,3.917.5 - Prior Living Situation: Months Homeless in Past 3 Years,"According to this client's assessment at Project Start, they experienced a single episode of homelessness in the three years prior to their enrollment and the approximate date homelessness started known, but the total number of months they experienced homelessness prior to this enrollment is inconsistent with the given dates. Please double-check this information for consistency and accuracy.",,71
dq,Warning,Long Stayers (Local Settings),3.10 - Project Start Date,"The number of days between Entry and the end of your CSV export exceeds the number of days in the Long Stayers settings for this project type. If this household has left the project, enter the Project Exit Date. If they are still active, do not change the data. It may be helpful to share this information with CE in accordance with your privacy policies to ensure this participant's needs are being met.",,102
dq,Warning,Long Stayers (Outliers),3.10 - Project Start Date,"This household has been housed in your project for a relatively long time compared to enrollments into the same project type in the rest of your system. If they have exited, please enter an Exit Date, otherwise consider using Move On Assistance funds. If they need to remain in the project, leave everything as is.","ES, TH, SH, HP, and RRH project types are compared against the 98th percentile. PH, Housing Only, and Housing with Services project types are compared aginst the 99th percentile.",104
dq,Warning,Number of Months Homeless Can Be Determined,"3.10 - Project Start Date, 3.917.3 - Prior Living Situation: Date Homelessness Started","According to this client's assessment at Project Start, they experienced a single episode of homelessness in the three years prior to their Project Start and the approximate date homelessness started is known, but there was no response entered for the total number of months they experienced homelessness prior to this enrollment. It should be possible to determine and enter the total number of months they experienced homelessness based on the Approximate Date Homelessness Started and the Project Start Date.",,70
dq,Warning,Possible Missed Move-In Date,3.20 - Housing Move-In Date,"This enrollment may be missing a Move-In Date. It is being flagged because the length of time since the enrollment date is in the top 1-2% for this project type. Please be sure this household is still awaiting housing in this project and if not, record the date they either moved into housing or exited your project. If they are still awaiting housing, do not change the data.","1% if project type in PSH, PH - Housing Only, or PH - Housing with Services and 2% for all other project types.",72
dq,Warning,Project Overlaps,"3.10 - Project Start Date, 3.11 - Project Exit Date",This enrollment overlaps with another enrollment that would indicate a household spent the same night in multiple inventory beds. Please review the HMIS Dual Enrollments and HIC Duplicate Inventory Training Resource for more information.,,77
pdde,High Priority,Missing Geography Information,2.03.8 - Continuum of Care Information: Geography Type,Please ensure geography information for projects is complete.,"Missing geography information that makes this a High Priority Error are geocode, CoC code, and geography type.",5
pdde,High Priority,Overlapping CE Participation Records,2.09 CE Participation Status,This project has more than one CE Participation record that covers the same time period. Please be sure you are ending any records that are no longer accurate before creating a new record.,,128
pdde,High Priority,Overlapping HMIS Participation Records,2.08 HMIS Participation,This project has more than one HMIS Participation record that covers the same time period. Please be sure you are ending any records that are no longer accurate before creating a new record.,,131
pdde,High Priority,Client-level data in VSP organization,2.01.3 Victim Service Provider,"Regardless of HMIS Participation Status, projects under Organizations marked as Victim Service Providers should not have client data in HMIS.",,139
pdde,Error,Missing Address,2.03.1-2.03.7 - Continuum of Care Information,Please ensure geography information for projects is complete.,,42
pdde,Error,Missing RRH SubType,"2.02A RRH SubType, 2.02.6 Project Type",All RRH projects must have an RRH SubType. Please update the data at the project level.,,110
pdde,Error,No Inventory Records,"2.07 - Bed and Unit Inventory Information, 2.02.6 - Project Type","Residential projects should have inventory data. Please enter inventory in HMIS for the project. If this project operates in more than one CoC, there must be separate Bed and Unit Inventory Information records for each CoC associated with the project in the Project.csv file.",,43
pdde,Error,Operating End precedes Inventory End,"2.02.3 - Project Information: Operating Start Date, 3.10 - Project Information: Project Entry Date",Inventory records should end whenever a project stops operating. Please correct either the inventory dates or the Project Operating End Date.,,44
pdde,Error,RRH-SO has active bed inventory,"2.02.6 ProjectType, 2.02.A RRHSubType, 2.07.14 Bed Inventory, 2.07 Inventory Start and End Dates","You have designated this project as Rapid Rehousing, subtype Services Only. The FY2024 Data Standards Manual says this kind of project ""provides services only and does not provide ongoing rental assistance or support any inventory for participants."" If the project fits this description, please be sure there are no active inventory records associated with the project.",,132
pdde,Error,VSP participating in HMIS,"2.08 HMIS Participation Status, 2.01 Victim Service Provider","This project is set as HMIS Participating, but the Organization it belongs to is set to Victim Service Provider = Yes. The Violence Against Women Act (VAWA) prohibits Victim Service Providers (VSPs) from entering data into HMIS and other shared databases. HUD has created this [decision tree](https://www.hudexchange.info/resource/5743/hmis-when-to-use-a-comparable-database/) to help communities and providers determine if they should enter data into HMIS or a comparable database.",,133
pdde,Error,Sum of Total Beds Discrepancy,2.07 - Bed and Unit Inventory Information,"Total Beds should match the sum of CH Vets, Youth Vets, Vets, CH Youth, Youth, CH, and Other beds. Please review project inventory records for the number of dedicated beds and ensure this number equals the Total Beds listed within each record.",,46
